type	latitude	longitude	altitude (m)	name
T	21.305424250	106.413219000	8.9	bacgiang
T	21.305424250	106.413460323	8.9	
T	21.305424250	106.413701646	8.8	
T	21.305424249	106.413942970	8.6	
T	21.305424249	106.414184293	8.5	
T	21.305424249	106.414425616	8.4	
T	21.305424249	106.414666939	8.2	
T	21.305424249	106.414908262	8.1	
T	21.305424249	106.415149586	7.8	
T	21.305424248	106.415390909	7.6	
T	21.305424248	106.415632232	7.3	
T	21.305424248	106.415873555	7.1	
T	21.305424248	106.416114878	7.5	
T	21.305424248	106.416356202	8.0	
T	21.305424247	106.416597525	8.4	
T	21.305424247	106.416838848	8.8	
T	21.305424247	106.417080171	9.3	
T	21.305424247	106.417321494	9.7	
T	21.305424247	106.417562817	10.0	
T	21.305424247	106.417804141	9.8	
T	21.305424246	106.418045464	9.7	
T	21.305424246	106.418286787	9.5	
T	21.305424246	106.418528110	9.1	
T	21.305424246	106.418769433	8.7	
T	21.305424246	106.419010757	8.3	
T	21.305424246	106.419252080	8.0	
T	21.305424245	106.419493403	8.0	
T	21.305424245	106.419734726	8.0	
T	21.305424245	106.419976049	8.0	
T	21.305424245	106.420217373	8.0	
T	21.305424245	106.420458696	8.0	
T	21.305424245	106.420700019	8.0	
T	21.305424244	106.420941342	8.2	
T	21.305424244	106.421182665	8.6	
T	21.305424244	106.421423989	9.1	
T	21.305424244	106.421665312	9.5	
T	21.305424244	106.421906635	8.5	
T	21.305424244	106.422147958	7.5	
T	21.305424243	106.422389281	6.5	
T	21.305424243	106.422630605	4.4	
T	21.305424243	106.422871928	1.3	
T	21.305424243	106.423113251	-1.7	
T	21.305424243	106.423354574	-4.3	
T	21.305424242	106.423595897	-1.5	
T	21.305424242	106.423837220	1.2	
T	21.305424242	106.424078544	4.0	
T	21.305424242	106.424319867	5.7	
T	21.305424242	106.424561190	6.9	
T	21.305424242	106.424802513	8.0	
T	21.305424241	106.425043836	9.0	
T	21.305424241	106.425285160	8.8	
T	21.305424241	106.425526483	8.7	
T	21.305424241	106.425767806	8.5	
T	21.305424241	106.426009129	8.6	
T	21.305424241	106.426250452	8.8	
T	21.305424240	106.426491776	8.9	
T	21.305424240	106.426733099	9.0	
T	21.305424240	106.426974422	8.8	
T	21.305424240	106.427215745	8.7	
T	21.305424240	106.427457068	8.5	
T	21.305424240	106.427698392	8.6	
T	21.305424239	106.427939715	8.8	
T	21.305424239	106.428181038	8.9	
T	21.305424239	106.428422361	9.0	
T	21.305424239	106.428663684	9.0	
T	21.305424239	106.428905008	9.0	
T	21.305424239	106.429146331	9.0	
T	21.305424238	106.429387654	9.1	
T	21.305424238	106.429628977	9.3	
T	21.305424238	106.429870300	9.4	
T	21.305424238	106.430111623	9.8	
T	21.305424238	106.430352947	10.4	
T	21.305424238	106.430594270	10.9	
T	21.305424237	106.430835593	11.5	
T	21.305424237	106.431076916	11.1	
T	21.305424237	106.431318239	10.6	
T	21.305424237	106.431559563	10.2	
T	21.305424237	106.431800886	9.7	
T	21.305424236	106.432042209	9.1	
T	21.305424236	106.432283532	8.5	
T	21.305424236	106.432524855	8.0	
T	21.305424236	106.432766179	8.3	
T	21.305424236	106.433007502	8.6	
T	21.305424236	106.433248825	8.9	
T	21.305424235	106.433490148	8.7	
T	21.305424235	106.433731471	8.3	
T	21.305424235	106.433972795	7.8	
T	21.305424235	106.434214118	7.6	
T	21.305424235	106.434455441	8.2	
T	21.305424235	106.434696764	8.7	
T	21.305424234	106.434938087	9.3	
T	21.305424234	106.435179411	10.4	
T	21.305424234	106.435420734	11.7	
T	21.305424234	106.435662057	13.0	
T	21.305424234	106.435903380	14.6	
T	21.305424234	106.436144703	17.1	
T	21.305424233	106.436386026	19.5	
T	21.305424233	106.436627350	22.0	
T	21.305424233	106.436868673	21.4	
T	21.305424233	106.437109996	20.3	
T	21.305424233	106.437351319	19.1	
T	21.305424233	106.437592642	18.4	
T	21.305424232	106.437833966	18.2	
T	21.305424232	106.438075289	18.1	
T	21.305424232	106.438316612	18.0	
T	21.305424232	106.438557935	19.0	
T	21.305424232	106.438799258	20.2	
T	21.305424231	106.439040582	21.3	
T	21.305424231	106.439281905	22.5	
T	21.305424231	106.439523228	23.8	
T	21.305424231	106.439764551	25.1	
T	21.305424231	106.440005874	26.3	
T	21.305424231	106.440247198	23.3	
T	21.305424230	106.440488521	20.2	
T	21.305424230	106.440729844	17.2	
T	21.305424230	106.440971167	15.4	
T	21.305424230	106.441212490	14.6	
T	21.305424230	106.441453814	13.7	
T	21.305424230	106.441695137	12.9	
T	21.305424229	106.441936460	12.6	
T	21.305424229	106.442177783	12.3	
T	21.305424229	106.442419106	12.0	
T	21.305424229	106.442660429	12.0	
T	21.305424229	106.442901753	12.2	
T	21.305424229	106.443143076	12.3	
T	21.305424228	106.443384399	12.5	
T	21.305424228	106.443625722	12.4	
T	21.305424228	106.443867045	12.4	
T	21.305424228	106.444108369	12.4	
T	21.305424228	106.444349692	12.3	
T	21.305424228	106.444591015	12.2	
T	21.305424227	106.444832338	12.0	
T	21.305424227	106.445073661	11.8	
T	21.305424227	106.445314985	11.4	
T	21.305424227	106.445556308	11.0	
T	21.305424227	106.445797631	10.6	
T	21.305424226	106.446038954	10.1	
T	21.305424226	106.446280277	9.7	
T	21.305424226	106.446521601	9.3	
T	21.305424226	106.446762924	9.0	
T	21.305424226	106.447004247	8.8	
T	21.305424226	106.447245570	8.7	
T	21.305424225	106.447486893	8.6	
T	21.305424225	106.447728217	9.1	
T	21.305424225	106.447969540	9.7	
T	21.305424225	106.448210863	10.2	
T	21.305424225	106.448452186	10.4	
T	21.305424225	106.448693509	10.3	
T	21.305424224	106.448934832	10.1	
T	21.305424224	106.449176156	10.0	
T	21.305424224	106.449417479	9.6	
T	21.305424224	106.449658802	9.1	
T	21.305424224	106.449900125	8.7	
T	21.305424224	106.450141448	8.4	
T	21.305424223	106.450382772	8.3	
T	21.305424223	106.450624095	8.1	
T	21.305424223	106.450865418	8.1	
T	21.305424223	106.451106741	8.5	
T	21.305424223	106.451348064	8.9	
T	21.305424223	106.451589388	9.4	
T	21.305424222	106.451830711	9.4	
T	21.305424222	106.452072034	9.3	
T	21.305424222	106.452313357	9.1	
T	21.305424222	106.452554680	9.0	
T	21.305424222	106.452796004	9.0	
T	21.305424222	106.453037327	9.0	
T	21.305424221	106.453278650	9.0	
T	21.305424221	106.453519973	8.4	
T	21.305424221	106.453761296	7.7	
T	21.305424221	106.454002620	7.0	
T	21.305424221	106.454243943	6.5	
T	21.305424220	106.454485266	6.3	
T	21.305424220	106.454726589	6.2	
T	21.305424220	106.454967912	6.0	
T	21.305424220	106.455209235	6.6	
T	21.305424220	106.455450559	7.3	
