type	latitude	longitude	altitude (m)	name
T	21.060029250	105.808725000	12.0	hanoi
T	21.060029250	105.808965923	12.0	
T	21.060029250	105.809206846	12.0	
T	21.060029249	105.809447769	11.7	
T	21.060029249	105.809688692	11.3	
T	21.060029249	105.809929615	11.0	
T	21.060029249	105.810170538	10.3	
T	21.060029249	105.810411461	9.5	
T	21.060029249	105.810652384	8.6	
T	21.060029248	105.810893307	8.0	
T	21.060029248	105.811134230	8.0	
T	21.060029248	105.811375153	8.0	
T	21.060029248	105.811616076	8.0	
T	21.060029248	105.811856999	8.0	
T	21.060029248	105.812097922	8.0	
T	21.060029247	105.812338845	8.0	
T	21.060029247	105.812579768	8.0	
T	21.060029247	105.812820691	8.0	
T	21.060029247	105.813061614	8.0	
T	21.060029247	105.813302537	8.0	
T	21.060029246	105.813543460	8.0	
T	21.060029246	105.813784383	8.0	
T	21.060029246	105.814025306	8.0	
T	21.060029246	105.814266229	8.0	
T	21.060029246	105.814507152	8.0	
T	21.060029246	105.814748075	8.0	
T	21.060029245	105.814988998	8.0	
T	21.060029245	105.815229921	8.0	
T	21.060029245	105.815470844	8.0	
T	21.060029245	105.815711767	8.0	
T	21.060029245	105.815952690	8.0	
T	21.060029245	105.816193613	8.0	
T	21.060029244	105.816434536	8.0	
T	21.060029244	105.816675459	8.0	
T	21.060029244	105.816916381	8.0	
T	21.060029244	105.817157304	8.0	
T	21.060029244	105.817398227	8.0	
T	21.060029244	105.817639150	8.0	
T	21.060029243	105.817880073	8.0	
T	21.060029243	105.818120996	8.0	
T	21.060029243	105.818361919	8.1	
T	21.060029243	105.818602842	8.7	
T	21.060029243	105.818843765	9.2	
T	21.060029243	105.819084688	9.8	
T	21.060029242	105.819325611	9.9	
T	21.060029242	105.819566534	9.6	
T	21.060029242	105.819807457	9.4	
T	21.060029242	105.820048380	9.2	
T	21.060029242	105.820289303	9.1	
T	21.060029242	105.820530226	9.1	
T	21.060029241	105.820771149	9.1	
T	21.060029241	105.821012072	9.3	
T	21.060029241	105.821252995	9.5	
T	21.060029241	105.821493918	9.8	
T	21.060029241	105.821734841	10.4	
T	21.060029241	105.821975764	11.8	
T	21.060029240	105.822216687	13.2	
T	21.060029240	105.822457610	14.6	
T	21.060029240	105.822698533	14.1	
T	21.060029240	105.822939456	13.3	
T	21.060029240	105.823180379	12.4	
T	21.060029240	105.823421302	12.1	
T	21.060029239	105.823662225	12.7	
T	21.060029239	105.823903148	13.3	
T	21.060029239	105.824144071	13.9	
T	21.060029239	105.824384994	13.4	
T	21.060029239	105.824625917	12.8	
T	21.060029239	105.824866840	12.3	
T	21.060029238	105.825107763	12.2	
T	21.060029238	105.825348686	12.8	
T	21.060029238	105.825589609	13.4	
T	21.060029238	105.825830532	14.0	
T	21.060029238	105.826071455	13.7	
T	21.060029237	105.826312378	13.5	
T	21.060029237	105.826553301	13.2	
T	21.060029237	105.826794224	12.3	
T	21.060029237	105.827035147	10.9	
T	21.060029237	105.827276070	9.5	
T	21.060029237	105.827516993	8.2	
T	21.060029236	105.827757916	8.1	
T	21.060029236	105.827998839	8.1	
T	21.060029236	105.828239762	8.1	
T	21.060029236	105.828480685	8.0	
T	21.060029236	105.828721608	8.0	
T	21.060029236	105.828962531	8.0	
T	21.060029235	105.829203454	8.1	
T	21.060029235	105.829444377	8.6	
T	21.060029235	105.829685300	9.2	
T	21.060029235	105.829926223	9.8	
T	21.060029235	105.830167146	10.3	
T	21.060029235	105.830408069	10.9	
T	21.060029234	105.830648992	11.5	
T	21.060029234	105.830889915	12.4	
T	21.060029234	105.831130838	14.4	
T	21.060029234	105.831371761	16.4	
T	21.060029234	105.831612684	18.4	
T	21.060029234	105.831853607	18.6	
T	21.060029233	105.832094530	18.4	
T	21.060029233	105.832335453	18.1	
T	21.060029233	105.832576376	17.8	
T	21.060029233	105.832817298	17.6	
T	21.060029233	105.833058221	17.3	
T	21.060029233	105.833299144	17.0	
T	21.060029232	105.833540067	17.2	
