type	latitude	longitude	altitude (m)	name
T	11.961805250	108.237480000	1103.6	lamdong
T	11.961805250	108.237709821	1101.5	
T	11.961805250	108.237939641	1099.6	
T	11.961805250	108.238169462	1097.8	
T	11.961805250	108.238399283	1094.9	
T	11.961805249	108.238629104	1089.2	
T	11.961805249	108.238858924	1083.6	
T	11.961805249	108.239088745	1077.9	
T	11.961805249	108.239318566	1074.2	
T	11.961805249	108.239548387	1071.5	
T	11.961805249	108.239778207	1068.8	
T	11.961805249	108.240008028	1066.3	
T	11.961805249	108.240237849	1070.6	
T	11.961805249	108.240467670	1074.9	
T	11.961805249	108.240697490	1079.1	
T	11.961805248	108.240927311	1085.2	
T	11.961805248	108.241157132	1093.9	
T	11.961805248	108.241386952	1102.6	
T	11.961805248	108.241616773	1111.3	
T	11.961805248	108.241846594	1121.3	
T	11.961805248	108.242076415	1131.6	
T	11.961805248	108.242306235	1142.0	
T	11.961805248	108.242536056	1152.7	
T	11.961805248	108.242765877	1165.7	
T	11.961805248	108.242995698	1178.7	
T	11.961805248	108.243225518	1191.7	
T	11.961805247	108.243455339	1203.3	
T	11.961805247	108.243685160	1213.5	
T	11.961805247	108.243914981	1223.7	
T	11.961805247	108.244144801	1233.9	
T	11.961805247	108.244374622	1242.8	
T	11.961805247	108.244604443	1251.6	
T	11.961805247	108.244834263	1260.3	
T	11.961805247	108.245064084	1266.8	
T	11.961805247	108.245293905	1267.4	
T	11.961805247	108.245523726	1268.0	
T	11.961805247	108.245753546	1268.6	
T	11.961805246	108.245983367	1272.5	
T	11.961805246	108.246213188	1278.0	
T	11.961805246	108.246443009	1283.6	
T	11.961805246	108.246672829	1289.2	
T	11.961805246	108.246902650	1296.2	
T	11.961805246	108.247132471	1303.2	
T	11.961805246	108.247362292	1310.1	
T	11.961805246	108.247592112	1317.2	
T	11.961805246	108.247821933	1324.5	
T	11.961805246	108.248051754	1331.8	
T	11.961805246	108.248281574	1339.0	
T	11.961805245	108.248511395	1342.0	
T	11.961805245	108.248741216	1343.6	
T	11.961805245	108.248971037	1345.3	
T	11.961805245	108.249200857	1346.4	
T	11.961805245	108.249430678	1344.7	
T	11.961805245	108.249660499	1342.9	
T	11.961805245	108.249890320	1341.2	
T	11.961805245	108.250120140	1339.3	
T	11.961805245	108.250349961	1337.3	
T	11.961805245	108.250579782	1335.2	
T	11.961805244	108.250809603	1333.2	
T	11.961805244	108.251039423	1333.2	
T	11.961805244	108.251269244	1333.4	
T	11.961805244	108.251499065	1333.7	
T	11.961805244	108.251728885	1333.6	
T	11.961805244	108.251958706	1332.6	
T	11.961805244	108.252188527	1331.6	
T	11.961805244	108.252418348	1330.7	
