type	latitude	longitude	altitude (m)	name
T	21.425504250	103.857235000	810.9	sonla
T	21.425504250	103.857476521	806.8	
T	21.425504250	103.857718042	794.5	
T	21.425504249	103.857959563	781.3	
T	21.425504249	103.858201085	768.0	
T	21.425504249	103.858442606	755.4	
T	21.425504249	103.858684127	743.5	
T	21.425504249	103.858925648	731.6	
T	21.425504249	103.859167169	719.7	
T	21.425504248	103.859408690	705.3	
T	21.425504248	103.859650211	691.0	
T	21.425504248	103.859891732	676.6	
T	21.425504248	103.860133254	667.0	
T	21.425504248	103.860374775	661.1	
T	21.425504247	103.860616296	655.2	
T	21.425504247	103.860857817	649.9	
T	21.425504247	103.861099338	650.5	
T	21.425504247	103.861340859	651.1	
T	21.425504247	103.861582380	651.7	
T	21.425504247	103.861823901	648.5	
T	21.425504246	103.862065423	643.3	
T	21.425504246	103.862306944	638.0	
T	21.425504246	103.862548465	633.0	
T	21.425504246	103.862789986	628.9	
T	21.425504246	103.863031507	624.8	
T	21.425504246	103.863273028	620.6	
T	21.425504245	103.863514549	621.7	
T	21.425504245	103.863756070	624.5	
T	21.425504245	103.863997592	627.4	
T	21.425504245	103.864239113	632.2	
T	21.425504245	103.864480634	641.6	
T	21.425504245	103.864722155	650.9	
T	21.425504244	103.864963676	660.3	
T	21.425504244	103.865205197	659.8	
T	21.425504244	103.865446718	657.5	
T	21.425504244	103.865688239	655.2	
T	21.425504244	103.865929761	650.8	
T	21.425504243	103.866171282	643.4	
T	21.425504243	103.866412803	636.0	
T	21.425504243	103.866654324	628.6	
T	21.425504243	103.866895845	626.6	
T	21.425504243	103.867137366	624.9	
T	21.425504243	103.867378887	623.2	
T	21.425504242	103.867620409	622.0	
T	21.425504242	103.867861930	621.2	
T	21.425504242	103.868103451	620.5	
T	21.425504242	103.868344972	619.8	
T	21.425504242	103.868586493	619.9	
T	21.425504242	103.868828014	620.0	
T	21.425504241	103.869069535	620.1	
T	21.425504241	103.869311056	620.5	
T	21.425504241	103.869552578	621.0	
T	21.425504241	103.869794099	621.6	
T	21.425504241	103.870035620	622.3	
T	21.425504241	103.870277141	624.3	
T	21.425504240	103.870518662	626.3	
T	21.425504240	103.870760183	628.3	
T	21.425504240	103.871001704	632.2	
T	21.425504240	103.871243225	637.0	
T	21.425504240	103.871484747	641.7	
T	21.425504240	103.871726268	647.1	
T	21.425504239	103.871967789	654.5	
T	21.425504239	103.872209310	661.8	
T	21.425504239	103.872450831	669.2	
T	21.425504239	103.872692352	669.5	
T	21.425504239	103.872933873	668.0	
T	21.425504238	103.873175394	666.4	
T	21.425504238	103.873416916	664.0	
T	21.425504238	103.873658437	659.8	
T	21.425504238	103.873899958	655.6	
T	21.425504238	103.874141479	651.4	
T	21.425504238	103.874383000	651.8	
T	21.425504237	103.874624521	652.7	
T	21.425504237	103.874866042	653.6	
T	21.425504237	103.875107564	655.2	
T	21.425504237	103.875349085	657.5	
T	21.425504237	103.875590606	659.8	
T	21.425504237	103.875832127	662.1	
