type	latitude	longitude	altitude (m)	name
T	20.460455250	106.303856000	2.3	thaibinh
T	20.460455250	106.304095969	2.1	
T	20.460455250	106.304335938	1.9	
T	20.460455249	106.304575908	1.7	
T	20.460455249	106.304815877	1.6	
T	20.460455249	106.305055846	1.6	
T	20.460455249	106.305295815	2.2	
T	20.460455249	106.305535784	2.7	
T	20.460455249	106.305775753	3.3	
T	20.460455248	106.306015723	3.7	
T	20.460455248	106.306255692	4.0	
T	20.460455248	106.306495661	4.3	
T	20.460455248	106.306735630	4.5	
T	20.460455248	106.306975599	4.5	
T	20.460455248	106.307215568	4.5	
T	20.460455247	106.307455538	4.5	
T	20.460455247	106.307695507	4.1	
T	20.460455247	106.307935476	3.5	
T	20.460455247	106.308175445	2.9	
T	20.460455247	106.308415414	2.5	
T	20.460455247	106.308655383	2.7	
T	20.460455246	106.308895353	2.8	
T	20.460455246	106.309135322	3.0	
T	20.460455246	106.309375291	2.9	
T	20.460455246	106.309615260	2.8	
T	20.460455246	106.309855229	2.6	
T	20.460455246	106.310095199	2.3	
T	20.460455245	106.310335168	1.7	
T	20.460455245	106.310575137	1.2	
T	20.460455245	106.310815106	0.6	
T	20.460455245	106.311055075	0.4	
T	20.460455245	106.311295044	0.3	
T	20.460455245	106.311535014	0.2	
T	20.460455244	106.311774983	0.3	
T	20.460455244	106.312014952	0.9	
T	20.460455244	106.312254921	1.4	
T	20.460455244	106.312494890	2.0	
T	20.460455244	106.312734859	1.3	
T	20.460455244	106.312974829	0.5	
T	20.460455243	106.313214798	-0.2	
T	20.460455243	106.313454767	-0.3	
T	20.460455243	106.313694736	0.3	
T	20.460455243	106.313934705	0.9	
T	20.460455243	106.314174675	1.5	
T	20.460455243	106.314414644	1.4	
T	20.460455242	106.314654613	1.4	
T	20.460455242	106.314894582	1.4	
T	20.460455242	106.315134551	1.1	
T	20.460455242	106.315374520	0.7	
T	20.460455242	106.315614490	0.3	
T	20.460455242	106.315854459	-0.1	
T	20.460455242	106.316094428	0.1	
T	20.460455241	106.316334397	0.3	
T	20.460455241	106.316574366	0.5	
T	20.460455241	106.316814335	0.4	
T	20.460455241	106.317054305	0.0	
T	20.460455241	106.317294274	-0.3	
T	20.460455241	106.317534243	-0.4	
T	20.460455240	106.317774212	0.3	
T	20.460455240	106.318014181	1.0	
T	20.460455240	106.318254150	1.7	
T	20.460455240	106.318494120	1.5	
T	20.460455240	106.318734089	0.9	
T	20.460455240	106.318974058	0.4	
T	20.460455239	106.319214027	0.0	
T	20.460455239	106.319453996	0.6	
T	20.460455239	106.319693966	1.2	
T	20.460455239	106.319933935	1.7	
T	20.460455239	106.320173904	2.1	
T	20.460455239	106.320413873	2.5	
T	20.460455238	106.320653842	2.8	
T	20.460455238	106.320893811	3.0	
T	20.460455238	106.321133781	3.0	
T	20.460455238	106.321373750	3.0	
T	20.460455238	106.321613719	3.0	
T	20.460455238	106.321853688	3.1	
T	20.460455237	106.322093657	3.2	
T	20.460455237	106.322333626	3.4	
T	20.460455237	106.322573596	3.4	
T	20.460455237	106.322813565	3.3	
T	20.460455237	106.323053534	3.2	
T	20.460455237	106.323293503	3.0	
T	20.460455236	106.323533472	2.6	
T	20.460455236	106.323773442	2.0	
T	20.460455236	106.324013411	1.5	
T	20.460455236	106.324253380	1.4	
T	20.460455236	106.324493349	2.0	
T	20.460455236	106.324733318	2.5	
T	20.460455235	106.324973287	3.1	
T	20.460455235	106.325213257	3.3	
T	20.460455235	106.325453226	3.3	
T	20.460455235	106.325693195	3.4	
T	20.460455235	106.325933164	2.9	
T	20.460455235	106.326173133	1.6	
T	20.460455234	106.326413102	0.4	
T	20.460455234	106.326653072	-0.9	
T	20.460455234	106.326893041	0.2	
T	20.460455234	106.327133010	1.5	
T	20.460455234	106.327372979	2.8	
T	20.460455234	106.327612948	3.5	
T	20.460455233	106.327852917	3.6	
T	20.460455233	106.328092887	3.8	
T	20.460455233	106.328332856	3.9	
T	20.460455233	106.328572825	4.0	
T	20.460455233	106.328812794	4.0	
T	20.460455233	106.329052763	4.1	
T	20.460455232	106.329292733	4.0	
T	20.460455232	106.329532702	3.8	
T	20.460455232	106.329772671	3.6	
T	20.460455232	106.330012640	3.4	
T	20.460455232	106.330252609	2.2	
T	20.460455232	106.330492578	1.0	
T	20.460455231	106.330732548	-0.2	
T	20.460455231	106.330972517	-0.8	
T	20.460455231	106.331212486	-0.9	
T	20.460455231	106.331452455	-1.1	
T	20.460455231	106.331692424	-1.1	
T	20.460455231	106.331932393	-0.2	
T	20.460455230	106.332172363	0.7	
T	20.460455230	106.332412332	1.6	
